Store ID,Product ID,Category,Inventory Level,Units Sold,Risk_Flag
S001,P0001,Groceries,231,127,OK
S001,P0002,Toys,204,150,Low Stock Risk
S001,P0003,Toys,102,65,OK
S001,P0004,Toys,469,61,OK
S001,P0005,Electronics,166,14,OK
S001,P0006,Groceries,138,128,Low Stock Risk
S001,P0007,Furniture,359,97,OK
S001,P0008,Clothing,380,312,Low Stock Risk
S001,P0009,Electronics,183,175,Low Stock Risk
S001,P0010,Toys,108,28,OK
S001,P0011,Furniture,258,150,OK
S001,P0012,Clothing,66,24,OK
S001,P0013,Toys,96,42,OK
S001,P0014,Clothing,193,12,OK
S001,P0015,Clothing,379,369,Low Stock Risk
S001,P0016,Electronics,363,255,Low Stock Risk
S001,P0017,Toys,318,246,Low Stock Risk
S001,P0018,Clothing,241,151,OK
S001,P0019,Clothing,352,257,Low Stock Risk
S001,P0020,Toys,274,99,OK
S002,P0001,Groceries,343,104,OK
S002,P0002,Clothing,373,141,OK
S002,P0003,Furniture,445,182,OK
S002,P0004,Toys,191,63,OK
S002,P0005,Toys,281,156,OK
S002,P0006,Furniture,492,250,OK
S002,P0007,Groceries,460,393,Low Stock Risk
S002,P0008,Electronics,304,29,OK
S002,P0009,Clothing,113,9,OK
S002,P0010,Electronics,157,126,Low Stock Risk
S002,P0011,Groceries,67,13,OK
S002,P0012,Groceries,281,25,OK
S002,P0013,Clothing,389,283,Low Stock Risk
S002,P0014,Electronics,465,359,Low Stock Risk
S002,P0015,Toys,197,129,OK
S002,P0016,Toys,242,63,OK
S002,P0017,Groceries,398,373,Low Stock Risk
S002,P0018,Groceries,234,160,Low Stock Risk
S002,P0019,Toys,67,15,OK
S002,P0020,Toys,221,101,OK
S003,P0001,Toys,241,147,OK
S003,P0002,Electronics,115,4,OK
S003,P0003,Groceries,375,77,OK
S003,P0004,Toys,153,31,OK
S003,P0005,Clothing,438,325,Low Stock Risk
S003,P0006,Groceries,456,163,OK
S003,P0007,Electronics,189,34,OK
S003,P0008,Toys,223,47,OK
S003,P0009,Groceries,381,15,OK
S003,P0010,Groceries,166,126,Low Stock Risk
S003,P0011,Toys,292,232,Low Stock Risk
S003,P0012,Electronics,311,175,OK
S003,P0013,Furniture,51,17,OK
S003,P0014,Electronics,398,369,Low Stock Risk
S003,P0015,Clothing,445,260,OK
S003,P0016,Groceries,487,347,Low Stock Risk
S003,P0017,Clothing,429,150,OK
S003,P0018,Toys,204,70,OK
S003,P0019,Clothing,330,249,Low Stock Risk
S003,P0020,Electronics,431,370,Low Stock Risk
S004,P0001,Toys,477,271,OK
